epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8768,1.47117,3.56514,1.80535,0.00335,1,0.19638,0.10332,0.96716,4.0743,1.67967,6.25e-05,6.25e-05,6.25e-05
2,70.5165,1.13603,3.26634,1.48612,0.00393,1,0.64851,0.47201,0.77622,3.89693,1.37683,0.000134777,0.000134777,0.000134777
3,101.648,1.10724,2.60986,1.41899,0.00461,1,0.67143,0.49906,0.75263,3.59958,1.40637,0.000204085,0.000204085,0.000204085
4,135.077,1.03769,2.18969,1.40997,0.51754,0.69286,0.67166,0.51719,0.75578,3.34933,1.38621,0.000270422,0.000270422,0.000270422
5,167.644,0.98893,1.89839,1.41011,1,0.20737,0.87196,0.62208,0.79939,3.34639,1.3351,0.00033379,0.00033379,0.00033379
6,199.197,1.00277,1.67435,1.35812,1,0.14594,0.8338,0.58647,0.87648,3.2299,1.50371,0.000394188,0.000394188,0.000394188
7,228.637,0.97855,1.59832,1.41409,1,0.37258,0.90708,0.68485,0.83747,3.20485,1.41729,0.000451615,0.000451615,0.000451615
8,258.695,1.0424,1.58317,1.37105,0.9215,0.6824,0.91469,0.68792,0.89734,2.80564,1.48066,0.000506072,0.000506072,0.000506072
9,288.189,0.9495,1.47233,1.35156,0.94014,0.70518,0.93833,0.71566,0.91117,2.88862,1.4949,0.00055756,0.00055756,0.00055756
10,317.665,0.98528,1.5341,1.32723,0.93216,0.77074,0.96084,0.70855,0.96788,2.86867,1.56304,0.000606078,0.000606078,0.000606078
11,346.666,1.03081,1.43119,1.35616,0.90022,0.84661,0.9469,0.68298,1.00747,2.30017,1.63212,0.000651625,0.000651625,0.000651625
12,375.912,0.96567,1.45184,1.31597,0.89913,0.95193,0.97833,0.71919,0.97001,2.39943,1.53569,0.000694203,0.000694203,0.000694203
13,404.896,1.00704,1.34052,1.32038,0.72679,0.69573,0.85246,0.64202,0.95045,2.75848,1.5263,0.00073381,0.00073381,0.00073381
14,434.201,0.96081,1.25456,1.30839,0.90355,0.83997,0.97446,0.70458,0.98804,2.29698,1.7226,0.000770448,0.000770448,0.000770448
15,463.203,1.00172,1.39053,1.3534,0.98629,0.80921,0.97714,0.71857,0.9466,2.2256,1.58093,0.000804115,0.000804115,0.000804115
16,492.469,1.06915,1.336,1.37428,0.86055,0.91097,0.98667,0.64789,1.19508,2.31728,1.90784,0.000834813,0.000834813,0.000834813
17,521.361,1.04041,1.42689,1.34002,0.93297,0.79776,0.98071,0.59921,1.16595,2.35501,1.83469,0.000854,0.000854,0.000854
18,551.984,0.9679,1.36409,1.31131,0.92979,1,0.98667,0.71369,0.96035,2.2253,1.59222,0.00082925,0.00082925,0.00082925
19,584.595,0.96778,1.36509,1.27,0.89507,0.971,0.98667,0.70996,0.96477,2.34056,1.57973,0.0008045,0.0008045,0.0008045
20,614.078,0.91159,1.29171,1.30726,0.95566,0.90972,0.99063,0.67754,1.00142,2.21502,1.62304,0.00077975,0.00077975,0.00077975
21,643.773,0.96276,1.27897,1.30461,0.81453,0.96429,0.98229,0.67947,0.95402,2.05677,1.54869,0.000755,0.000755,0.000755
22,673.157,0.94911,1.17595,1.22773,0.91263,0.99137,0.995,0.75023,0.90329,1.66902,1.47251,0.00073025,0.00073025,0.00073025
23,702.118,0.95728,1.16215,1.28576,0.95082,0.99236,0.995,0.75376,0.92718,1.66763,1.50979,0.0007055,0.0007055,0.0007055
24,731.481,0.9471,1.13151,1.30892,0.95537,0.99374,0.995,0.75271,0.95019,1.68636,1.50774,0.00068075,0.00068075,0.00068075
25,760.275,0.8931,1.23862,1.25622,0.92563,1,0.995,0.74695,0.99797,1.76359,1.52882,0.000656,0.000656,0.000656
26,791.979,0.93605,1.17451,1.28415,0.98027,0.95841,0.995,0.75538,0.93791,1.62754,1.45787,0.00063125,0.00063125,0.00063125
27,825.093,0.97014,1.09641,1.24694,0.97642,0.99329,0.995,0.77224,0.88036,1.57448,1.44666,0.0006065,0.0006065,0.0006065
28,856.505,0.9252,1.08314,1.23736,0.9865,1,0.995,0.72916,1.00682,1.51354,1.54803,0.00058175,0.00058175,0.00058175
29,886.025,0.88003,1.04692,1.23025,0.98285,0.9991,0.995,0.72984,0.98388,1.48706,1.51928,0.000557,0.000557,0.000557
30,915.666,0.87289,1.04781,1.22393,0.94634,0.99521,0.995,0.77562,0.948,1.3757,1.5159,0.00053225,0.00053225,0.00053225
31,946.319,0.91496,1.02291,1.24726,0.98456,1,0.995,0.78402,0.91631,1.33537,1.4891,0.0005075,0.0005075,0.0005075
32,976.775,0.84232,0.93143,1.18474,0.98758,1,0.995,0.81067,0.80098,1.29588,1.34722,0.00048275,0.00048275,0.00048275
33,1006.69,0.8872,0.99066,1.22049,0.98858,1,0.995,0.79287,0.80608,1.309,1.33345,0.000458,0.000458,0.000458
34,1036.16,0.86129,1.00001,1.2053,0.98018,1,0.995,0.76805,0.93611,1.36106,1.43312,0.00043325,0.00043325,0.00043325
35,1066.39,0.93108,1.06894,1.33095,0.96181,0.99239,0.995,0.74001,1.00523,1.38508,1.5124,0.0004085,0.0004085,0.0004085
36,1096,0.86301,0.98035,1.20472,0.96782,0.99668,0.995,0.76158,0.92079,1.3969,1.42437,0.00038375,0.00038375,0.00038375
37,1125.56,0.79267,0.92246,1.15715,0.97053,1,0.995,0.7819,0.85763,1.36811,1.36507,0.000359,0.000359,0.000359
38,1155.18,0.80488,0.96507,1.18859,0.97854,1,0.995,0.79428,0.83679,1.23214,1.34846,0.00033425,0.00033425,0.00033425
39,1184.52,0.78151,0.90828,1.18572,0.9827,1,0.995,0.78979,0.82162,1.20136,1.33761,0.0003095,0.0003095,0.0003095
40,1213.57,0.75999,0.87322,1.16524,0.98384,1,0.995,0.79244,0.80479,1.19403,1.31505,0.00028475,0.00028475,0.00028475
41,1242.95,0.68386,1.16092,1.18067,0.97442,0.99813,0.995,0.7771,0.84431,1.22017,1.36479,0.00026,0.00026,0.00026
42,1271.78,0.66268,1.15247,1.23462,0.93731,1,0.995,0.75754,0.97471,1.54433,1.48948,0.00023525,0.00023525,0.00023525
43,1300.15,0.72144,1.20827,1.17012,0.94094,0.99381,0.995,0.77662,0.94471,1.58989,1.44545,0.0002105,0.0002105,0.0002105
44,1328.59,0.66812,1.20107,1.1581,0.96224,0.99416,0.995,0.79938,0.8499,1.37423,1.34105,0.00018575,0.00018575,0.00018575
45,1357.69,0.62911,1.13807,1.13792,0.98274,1,0.995,0.80919,0.83082,1.27187,1.32096,0.000161,0.000161,0.000161
46,1386.81,0.63885,1.08658,1.14558,0.98986,1,0.995,0.80463,0.81323,1.14466,1.30948,0.00013625,0.00013625,0.00013625
47,1416.13,0.60606,1.01314,1.17999,0.9898,1,0.995,0.81174,0.80133,1.12845,1.29787,0.0001115,0.0001115,0.0001115
48,1445.08,0.58577,0.99445,1.0941,0.99002,1,0.995,0.79757,0.80665,1.1405,1.30377,8.675e-05,8.675e-05,8.675e-05
49,1473.22,0.62856,1.0173,1.18385,0.98915,1,0.995,0.79055,0.81482,1.12864,1.31244,6.2e-05,6.2e-05,6.2e-05
50,1502.3,0.56094,0.97936,1.06975,0.98807,1,0.995,0.79054,0.82699,1.12567,1.32278,3.725e-05,3.725e-05,3.725e-05
